Description_1	Special	Description
application_{train|test}.csv	LANDAREA_AVG	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	LIVINGAPARTMENTS_AVG	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	LIVINGAREA_AVG	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	NONLIVINGAPARTMENTS_AVG	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	NONLIVINGAREA_AVG	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	APARTMENTS_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	BASEMENTAREA_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	YEARS_BEGINEXPLUATATION_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	YEARS_BUILD_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	COMMONAREA_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	ELEVATORS_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	ENTRANCES_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	FLOORSMAX_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	FLOORSMIN_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	LANDAREA_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	LIVINGAPARTMENTS_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	LIVINGAREA_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	NONLIVINGAPARTMENTS_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	NONLIVINGAREA_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	APARTMENTS_MEDI	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	BASEMENTAREA_MEDI	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	YEARS_BEGINEXPLUATATION_MEDI	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	YEARS_BUILD_MEDI	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	COMMONAREA_MEDI	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	ELEVATORS_MEDI	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	ENTRANCES_MEDI	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	FLOORSMAX_MEDI	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	FLOORSMIN_MEDI	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	LANDAREA_MEDI	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	LIVINGAPARTMENTS_MEDI	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	LIVINGAREA_MEDI	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	NONLIVINGAPARTMENTS_MEDI	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	NONLIVINGAREA_MEDI	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	FONDKAPREMONT_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	HOUSETYPE_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	TOTALAREA_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	WALLSMATERIAL_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	EMERGENCYSTATE_MODE	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	OBS_30_CNT_SOCIAL_CIRCLE	How many observation of client's social surroundings with observable 30 DPD (days past due) default
application_{train|test}.csv	DEF_30_CNT_SOCIAL_CIRCLE	How many observation of client's social surroundings defaulted on 30 DPD (days past due)
application_{train|test}.csv	OBS_60_CNT_SOCIAL_CIRCLE	How many observation of client's social surroundings with observable 60 DPD (days past due) default
application_{train|test}.csv	DEF_60_CNT_SOCIAL_CIRCLE	How many observation of client's social surroundings defaulted on 60 (days past due) DPD
application_{train|test}.csv	DAYS_LAST_PHONE_CHANGE	How many days before application did client change phone
application_{train|test}.csv	FLAG_DOCUMENT_2	Did client provide document 2
application_{train|test}.csv	FLAG_DOCUMENT_3	Did client provide document 3
application_{train|test}.csv	FLAG_DOCUMENT_4	Did client provide document 4
application_{train|test}.csv	FLAG_DOCUMENT_5	Did client provide document 5
application_{train|test}.csv	FLAG_DOCUMENT_6	Did client provide document 6
application_{train|test}.csv	FLAG_DOCUMENT_7	Did client provide document 7
application_{train|test}.csv	FLAG_DOCUMENT_8	Did client provide document 8
application_{train|test}.csv	FLAG_DOCUMENT_9	Did client provide document 9
application_{train|test}.csv	FLAG_DOCUMENT_10	Did client provide document 10
application_{train|test}.csv	FLAG_DOCUMENT_11	Did client provide document 11
application_{train|test}.csv	FLAG_DOCUMENT_12	Did client provide document 12
application_{train|test}.csv	FLAG_DOCUMENT_13	Did client provide document 13
application_{train|test}.csv	FLAG_DOCUMENT_14	Did client provide document 14
application_{train|test}.csv	FLAG_DOCUMENT_15	Did client provide document 15
application_{train|test}.csv	FLAG_DOCUMENT_16	Did client provide document 16
application_{train|test}.csv	FLAG_DOCUMENT_17	Did client provide document 17
application_{train|test}.csv	FLAG_DOCUMENT_18	Did client provide document 18
application_{train|test}.csv	FLAG_DOCUMENT_19	Did client provide document 19
application_{train|test}.csv	FLAG_DOCUMENT_20	Did client provide document 20
application_{train|test}.csv	FLAG_DOCUMENT_21	Did client provide document 21
application_{train|test}.csv	AMT_REQ_CREDIT_BUREAU_HOUR	Number of enquiries to Credit Bureau about the client one hour before application
application_{train|test}.csv	AMT_REQ_CREDIT_BUREAU_DAY	Number of enquiries to Credit Bureau about the client one day before application (excluding one hour before application)
application_{train|test}.csv	AMT_REQ_CREDIT_BUREAU_WEEK	Number of enquiries to Credit Bureau about the client one week before application (excluding one day before application)
application_{train|test}.csv	AMT_REQ_CREDIT_BUREAU_MON	Number of enquiries to Credit Bureau about the client one month before application (excluding one week before application)
application_{train|test}.csv	AMT_REQ_CREDIT_BUREAU_QRT	Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application)
application_{train|test}.csv	AMT_REQ_CREDIT_BUREAU_YEAR	Number of enquiries to Credit Bureau about the client one day year (excluding last 3 months before application)
bureau.csv	SK_ID_CURR	ID of loan in our sample - one loan in our sample can have 0,1,2 or more related previous credits in credit bureau
bureau.csv	SK_BUREAU_ID	Recoded ID of previous Credit Bureau credit related to our loan (unique coding for each loan application)
bureau.csv	CREDIT_ACTIVE	Status of the Credit Bureau (CB) reported credits
bureau.csv	CREDIT_CURRENCY	Recoded currency of the Credit Bureau credit
bureau.csv	DAYS_CREDIT	How many days before current application did client apply for Credit Bureau credit
bureau.csv	CREDIT_DAY_OVERDUE	Number of days past due on CB credit at the time of application for related loan in our sample
bureau.csv	DAYS_CREDIT_ENDDATE	Remaining duration of CB credit (in days) at the time of application in Home Credit
bureau.csv	DAYS_ENDDATE_FACT	Days since CB credit ended at the time of application in Home Credit (only for closed credit)
bureau.csv	AMT_CREDIT_MAX_OVERDUE	Maximal amount overdue on the Credit Bureau credit so far (at application date of loan in our sample)
bureau.csv	CNT_CREDIT_PROLONG	How many times was the Credit Bureau credit prolonged
bureau.csv	AMT_CREDIT_SUM	Current credit amount for the Credit Bureau credit
bureau.csv	AMT_CREDIT_SUM_DEBT	Current debt on Credit Bureau credit
bureau.csv	AMT_CREDIT_SUM_LIMIT	Current credit limit of credit card reported in Credit Bureau
bureau.csv	AMT_CREDIT_SUM_OVERDUE	Current amount overdue on Credit Bureau credit
bureau.csv	CREDIT_TYPE	Type of Credit Bureau credit (Car, cash,...)
bureau.csv	DAYS_CREDIT_UPDATE	How many days before loan application did last information about the Credit Bureau credit come
bureau.csv	AMT_ANNUITY	Annuity of the Credit Bureau credit
bureau_balance.csv	SK_BUREAU_ID	Recoded ID of Credit Bureau credit (unique coding for each application) - use this to join to CREDIT_BUREAU table
bureau_balance.csv	MONTHS_BALANCE	Month of balance relative to application date (-1 means the freshest balance date)
bureau_balance.csv	STATUS	Status of Credit Bureau loan during the month (active, closed, DPD0-30,? [C means closed, X means status unknown, 0 means no DPD, 1 means maximal did during month between 1-30, 2 means DPD 31-60,? 5 means DPD 120+ or sold or written off ] )
POS_CASH_balance.csv	SK_ID_PREV	ID of previous credit in Home Credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loans in Home Credit)
POS_CASH_balance.csv	SK_ID_CURR	ID of loan in our sample
POS_CASH_balance.csv	MONTHS_BALANCE	Month of balance relative to application date (-1 means the information to the freshest monthly snapshot, 0 means the information at application - often it will be the same as -1 as many banks are not updating the information to Credit Bureau regularly )
POS_CASH_balance.csv	CNT_INSTALMENT	Term of previous credit (can change over time)
POS_CASH_balance.csv	CNT_INSTALMENT_FUTURE	Installments left to pay on the previous credit
POS_CASH_balance.csv	NAME_CONTRACT_STATUS	Contract status during the month
POS_CASH_balance.csv	SK_DPD	DPD (days past due) during the month of previous credit
POS_CASH_balance.csv	SK_DPD_DEF	DPD during the month with tolerance (debts with low loan amounts are ignored) of the previous credit
credit_card_balance.csv	SK_ID_PREV	ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loans in Home Credit)
credit_card_balance.csv	SK_ID_CURR	ID of loan in our sample
credit_card_balance.csv	MONTHS_BALANCE	Month of balance relative to application date (-1 means the freshest balance date)
credit_card_balance.csv	AMT_BALANCE	Balance during the month of previous credit
credit_card_balance.csv	AMT_CREDIT_LIMIT_ACTUAL	Credit card limit during the month of the previous credit
credit_card_balance.csv	AMT_DRAWINGS_ATM_CURRENT	Amount drawing at ATM during the month of the previous credit
credit_card_balance.csv	AMT_DRAWINGS_CURRENT	Amount drawing during the month of the previous credit
credit_card_balance.csv	AMT_DRAWINGS_OTHER_CURRENT	Amount of other drawings during the month of the previous credit
credit_card_balance.csv	AMT_DRAWINGS_POS_CURRENT	Amount drawing or buying goods during the month of the previous credit
credit_card_balance.csv	AMT_INST_MIN_REGULARITY	Minimal installment for this month of the previous credit
credit_card_balance.csv	AMT_PAYMENT_CURRENT	How much did the client pay during the month on the previous credit
credit_card_balance.csv	AMT_PAYMENT_TOTAL_CURRENT	How much did the client pay during the month in total on the previous credit
credit_card_balance.csv	AMT_RECEIVABLE_PRINCIPAL	Amount receivable for principal on the previous credit
credit_card_balance.csv	AMT_RECIVABLE	Amount receivable on the previous credit
credit_card_balance.csv	AMT_TOTAL_RECEIVABLE	Total amount receivable on the previous credit
credit_card_balance.csv	CNT_DRAWINGS_ATM_CURRENT	Number of drawings at ATM during this month on the previous credit
credit_card_balance.csv	CNT_DRAWINGS_CURRENT	Number of drawings during this month on the previous credit
credit_card_balance.csv	CNT_DRAWINGS_OTHER_CURRENT	Number of other drawings during this month on the previous credit
credit_card_balance.csv	CNT_DRAWINGS_POS_CURRENT	Number of drawings for goods during this month on the previous credit
credit_card_balance.csv	CNT_INSTALMENT_MATURE_CUM	Number of paid installments on the previous credit
credit_card_balance.csv	NAME_CONTRACT_STATUS	Contract status (active signed,...) on the previous credit
credit_card_balance.csv	SK_DPD	DPD (Days past due) during the month on the previous credit
credit_card_balance.csv	SK_DPD_DEF	DPD (Days past due) during the month with tolerance (debts with low loan amounts are ignored) of the previous credit
previous_application.csv	SK_ID_PREV	ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loan applications in Home Credit, previous application could, but not necessarily have to lead to credit)
previous_application.csv	SK_ID_CURR	ID of loan in our sample
previous_application.csv	NAME_CONTRACT_TYPE	Contract product type (Cash loan, consumer loan [POS] ,...) of the previous application
previous_application.csv	AMT_ANNUITY	Annuity of previous application
previous_application.csv	AMT_APPLICATION	For how much credit did client ask on the previous application
previous_application.csv	AMT_CREDIT	Final credit amount on the previous application. This differs from AMT_APPLICATION in a way that the AMT_APPLICATION is the amount for which the client initially applied for, but during our approval process he could have received different amount - AMT_CREDIT
previous_application.csv	AMT_DOWN_PAYMENT	Down payment on the previous application
previous_application.csv	AMT_GOODS_PRICE	Goods price of good that client asked for (if applicable) on the previous application
previous_application.csv	WEEKDAY_APPR_PROCESS_START	On which day of the week did the client apply for previous application
previous_application.csv	HOUR_APPR_PROCESS_START	Approximately at what day hour did the client apply for the previous application
previous_application.csv	FLAG_LAST_APPL_PER_CONTRACT	Flag if it was last application for the previous contract. Sometimes by mistake of client or our clerk there could be more applications for one single contract
previous_application.csv	NFLAG_LAST_APPL_IN_DAY	Flag if the application was the last application per day of the client. Sometimes clients apply for more applications a day. Rarely it could also be error in our system that one application is in the database twice
previous_application.csv	NFLAG_MICRO_CASH	Flag Micro finance loan
previous_application.csv	RATE_DOWN_PAYMENT	Down payment rate normalized on previous credit
previous_application.csv	RATE_INTEREST_PRIMARY	Interest rate normalized on previous credit
previous_application.csv	RATE_INTEREST_PRIVILEGED	Interest rate normalized on previous credit
previous_application.csv	NAME_CASH_LOAN_PURPOSE	Purpose of the cash loan
previous_application.csv	NAME_CONTRACT_STATUS	Contract status (approved, cancelled, ...) of previous application
previous_application.csv	DAYS_DECISION	Relative to current application when was the decision about previous application made
previous_application.csv	NAME_PAYMENT_TYPE	Payment method that client chose to pay for the previous application
previous_application.csv	CODE_REJECT_REASON	Why was the previous application rejected
previous_application.csv	NAME_TYPE_SUITE	Who accompanied client when applying for the previous application
previous_application.csv	NAME_CLIENT_TYPE	Was the client old or new client when applying for the previous application
previous_application.csv	NAME_GOODS_CATEGORY	What kind of goods did the client apply for in the previous application
previous_application.csv	NAME_PORTFOLIO	Was the previous application for CASH, POS, CAR, ?
previous_application.csv	NAME_PRODUCT_TYPE	Was the previous application x-sell o walk-in
previous_application.csv	CHANNEL_TYPE	Through which channel we acquired the client on the previous application
previous_application.csv	SELLERPLACE_AREA	Selling area of seller place of the previous application
previous_application.csv	NAME_SELLER_INDUSTRY	The industry of the seller
previous_application.csv	CNT_PAYMENT	Term of previous credit at application of the previous application
previous_application.csv	NAME_YIELD_GROUP	Grouped interest rate into small medium and high of the previous application
previous_application.csv	PRODUCT_COMBINATION	Detailed product combination of the previous application
previous_application.csv	DAYS_FIRST_DRAWING	Relative to application date of current application when was the first disbursement of the previous application
previous_application.csv	DAYS_FIRST_DUE	Relative to application date of current application when was the first due supposed to be of the previous application
previous_application.csv	DAYS_LAST_DUE_1ST_VERSION	Relative to application date of current application when was the first due of the previous application
previous_application.csv	DAYS_LAST_DUE	Relative to application date of current application when was the last due date of the previous application
previous_application.csv	DAYS_TERMINATION	Relative to application date of current application when was the expected termination of the previous application
previous_application.csv	NFLAG_INSURED_ON_APPROVAL	Did the client requested insurance during the previous application
installments_payments.csv	SK_ID_PREV	ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loans in Home Credit)
installments_payments.csv	SK_ID_CURR	ID of loan in our sample
installments_payments.csv	NUM_INSTALMENT_VERSION	Version of installment calendar (0 is for credit card) of previous credit. Change of installment version from month to month signifies that some parameter of payment calendar has changed
installments_payments.csv	NUM_INSTALMENT_NUMBER	On which installment we observe payment
installments_payments.csv	DAYS_INSTALMENT	When the installment of previous credit was supposed to be paid (relative to application date of current loan)
installments_payments.csv	DAYS_ENTRY_PAYMENT	When was the installments of previous credit paid actually (relative to application date of current loan)
installments_payments.csv	AMT_INSTALMENT	What was the prescribed installment amount of previous credit on this installment
installments_payments.csv	AMT_PAYMENT	What the client actually paid on previous credit on this installment
